SALE TYPE,PROPERTY TYPE,PROPERTY ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA MONTH,PROPERTY STATUS,SOURCE_\ URL ,SOURCE,MLS NO,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,1731 Larkin St #4,San Francisco,CA,94109,1575000,2,2.0,San Francisco,,,1908,1,475,Active,http://www.redfin.com/CA/San-Francisco/1731-Larkin-St-94109/unit-4/home/98210376,San Francisco MLS,421516257,37.7938586,-122.4199766
MLS Listing,Condo/Co-op,400 Oak St #2,San Francisco,CA,94102,999000,2,1.0,San Francisco,965,2145,,1,454,Active,http://www.redfin.com/CA/San-Francisco/400-Oak-St-94102/unit-2/home/28890103,San Francisco MLS,513121,37.7747824,-122.4260936
MLS Listing,Single Family Residential,1524 Noe St,San Francisco,CA,94131,2099000,3,2.5,San Francisco,,2625,1910,1,,Active,http://www.redfin.com/CA/San-Francisco/1524-Noe-St-94131/home/804114,San Francisco MLS,509887,37.7446334,-122.4315301
MLS Listing,Condo/Co-op,5800 3rd St #1420,SAN FRANCISCO,CA,94124,749000,2,2.0,SAN FRANCISCO,1086,,2010,1,500,Active,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1420/home/40625846,MLSListings,ML81828603,37.7250528,-122.3951255
MLS Listing,Single Family Residential,215 Brighton Ave,San Francisco,CA,94112,1388000,5,,San Francisco,2344,2813,1964,1,,Active,http://www.redfin.com/CA/San-Francisco/215-Brighton-Ave-94112/home/2034976,San Francisco MLS,421517044,37.7223768,-122.4554406
MLS Listing,Single Family Residential,1878 41st Ave,San Francisco,CA,94122,1288000,2,1.0,San Francisco,1075,3000,1950,1,,Active,http://www.redfin.com/CA/San-Francisco/1878-41st-Ave-94122/home/924093,San Francisco MLS,421517093,37.7517634,-122.4997183
MLS Listing,Condo/Co-op,240 Lombard St #229,San Francisco,CA,94111,549000,1,1.0,San Francisco,580,50188,1993,1,945,Active,http://www.redfin.com/CA/San-Francisco/240-Lombard-St-94111/unit-229/home/542333,San Francisco MLS,421517025,37.8042439,-122.4055041
MLS Listing,Single Family Residential,1830 Jackson St Unit F,San Francisco,CA,94109,3200000,3,3.0,San Francisco,2450,7657,1917,1,880,Active,http://www.redfin.com/CA/San-Francisco/1830-Jackson-St-94109/unit-F/home/174368480,San Francisco MLS,421516853,37.7939561,-122.4254455
MLS Listing,Multi-Family (2-4 Unit),424 Linden St,San Francisco,CA,94102,1500000,2,,San Francisco,2200,1399,1909,1,,Active,http://www.redfin.com/CA/San-Francisco/424-Linden-St-94102/home/576890,San Francisco MLS,421516174,37.7762564,-122.4250929
MLS Listing,Condo/Co-op,310 Cornwall St,San Francisco,CA,94118,1795000,3,2.0,San Francisco,1535,4855,2013,1,,Active,http://www.redfin.com/CA/San-Francisco/310-Cornwall-St-94118/home/69371302,San Francisco MLS,515789,37.7850576,-122.4627277
MLS Listing,Single Family Residential,1526 29th Ave,San Francisco,CA,94122,1298000,2,1.0,San Francisco,1225,2996,1927,1,,Active,http://www.redfin.com/CA/San-Francisco/1526-29th-Ave-94122/home/1279582,San Francisco MLS,510656,37.7588134,-122.4872999
MLS Listing,Single Family Residential,20 Santa Fe Ave,San Francisco,CA,94124,799000,3,2.0,San Francisco,1430,2417,1939,1,,Active,http://www.redfin.com/CA/San-Francisco/20-Santa-Fe-Ave-94124/home/2027842,San Francisco MLS,515649,37.734476,-122.4013529
MLS Listing,Single Family Residential,185 Maynard St,San Francisco,CA,94112,1059000,3,2.0,San Francisco,1555,2750,1913,1,,Active,http://www.redfin.com/CA/San-Francisco/185-Maynard-St-94112/home/1122553,San Francisco MLS,512098,37.7295354,-122.426388
MLS Listing,Condo/Co-op,6050 Geary Blvd #302,San Francisco,CA,94121,929000,3,2.0,Richmond,1029,,2000,2,363,Active,http://www.redfin.com/CA/San-Francisco/6050-Geary-Blvd-94121/unit-302/home/1713760,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40936699,37.7804084,-122.484582
MLS Listing,Condo/Co-op,259 Clara St #202,San Francisco,CA,94107,1249000,2,2.0,San Francisco,1225,3970,2016,2,566,Active,http://www.redfin.com/CA/San-Francisco/259-Clara-St-94107/unit-202/home/173948898,San Francisco MLS,421517008,37.7783397,-122.4034459
MLS Listing,Multi-Family (5+ Unit),100 Terra Vista Ave,San Francisco,CA,94115,3999000,8,7.0,San Francisco,3271,4146,1954,2,,Active,http://www.redfin.com/CA/San-Francisco/100-Terra-Vista-Ave-94115/home/1959228,San Francisco MLS,515622,37.7816945,-122.4438265
MLS Listing,Condo/Co-op,1611 Birchwood Ct,San Francisco,CA,94134,818000,3,2.0,San Francisco,1200,16399,1990,2,441,Active,http://www.redfin.com/CA/San-Francisco/1611-Birchwood-Ct-94134/home/1755443,San Francisco MLS,421515934,37.70818,-122.425708
MLS Listing,Single Family Residential,123 Gambier St,SAN FRANCISCO,CA,94134,1179950,3,2.0,SAN FRANCISCO,1250,2996,1931,2,,Active,http://www.redfin.com/CA/San-Francisco/123-Gambier-St-94134/home/1455957,MLSListings,ML81828516,37.7277538,-122.4220167
MLS Listing,Condo/Co-op,555 Golden Gate Ave #306,San Francisco,CA,94102,998000,2,2.0,San Francisco,977,,2020,2,645,Active,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-306/home/174367692,San Francisco MLS,421516445,37.7808655,-122.4196054
MLS Listing,Multi-Family (5+ Unit),130 Acadia St,San Francisco,CA,94115,3550000,1,,San Francisco,7060,5000,1964,2,,Active,http://www.redfin.com/CA/San-Francisco/130-Acadia-St-94131/home/1680954,San Francisco MLS,421516925,37.7320873,-122.4372354
MLS Listing,Condo/Co-op,2100 Pacific Ave,San Francisco,CA,94115,7950000,5,3.5,San Francisco,5180,,1926,2,6208,Active,http://www.redfin.com/CA/San-Francisco/2100-Pacific-Ave-94115/Ph/home/174367296,San Francisco MLS,421516444,37.7941981,-122.4300563
MLS Listing,Condo/Co-op,2942 Polk St,San Francisco,CA,94109,1595000,2,2.0,San Francisco,1450,,1926,2,,Active,http://www.redfin.com/CA/San-Francisco/2942-Polk-St-94109/home/1554524,San Francisco MLS,421516845,37.804058,-122.4231319
MLS Listing,Single Family Residential,1011 Green St,San Francisco,CA,94133,3995000,4,2.5,San Francisco,3182,2696,1925,2,,Active,http://www.redfin.com/CA/San-Francisco/1011-Green-St-94133/home/1286959,San Francisco MLS,511193,37.7984552,-122.4158676
